ACT EPS,ESZ EPS Est,ID,symbol,fiscalDate,Actual EPS vs ESZ,ESZ EPS Dif,ESZ EPS % Dif,close,Per1d,Per2d,Per3d,Per5d,shortName,refSectorShort,mktCap,Earnings Surprise %
3.89,3.84429569996651,131754,AAPL,2018 Q1,Beat,0.04570430003349024,0.011749177386501348,167.78,-4.339015377279775,-6.729049946358323,-2.8310883299558998,-7.527714864703771,setup,E Technology,Mega Cap,1.1888861731913183
3.89,3.84429569996651,131754,AAPL,2018 Q1,Beat,0.04570430003349024,0.011749177386501348,167.78,-4.339015377279775,-6.729049946358323,-2.8310883299558998,-7.527714864703771,SPX 100,E Technology,Mega Cap,1.1888861731913183
2.73,2.72426357339956,133987,AAPL,2018 Q2,Beat,0.005736426600440048,0.0021012551649963545,169.1,4.417504435245423,4.6067415730337125,8.710821998817275,10.023654642223544,setup,E Technology,Mega Cap,0.21056797354162257
2.73,2.72426357339956,133987,AAPL,2018 Q2,Beat,0.005736426600440048,0.0021012551649963545,169.1,4.417504435245423,4.6067415730337125,8.710821998817275,10.023654642223544,SPX 100,E Technology,Mega Cap,0.21056797354162257
2.34,2.21790591161658,136224,AAPL,2018 Q3,Beat,0.12209408838341984,0.05217696084761532,190.29,5.891008460770397,8.986284092700615,9.3015923064796,8.839140259603774,setup,E Technology,Mega Cap,5.504926414774209
2.34,2.21790591161658,136224,AAPL,2018 Q3,Beat,0.12209408838341984,0.05217696084761532,190.29,5.891008460770397,8.986284092700615,9.3015923064796,8.839140259603774,SPX 100,E Technology,Mega Cap,5.504926414774209
2.91,2.8420915518656,146839,AAPL,2018 Q4,Beat,0.06790844813440033,0.02333623647230252,222.22,-6.633066330663306,-9.283592835928356,-8.302583025830257,-6.178561785617854,setup,E Technology,Mega Cap,2.3893828504512467
2.91,2.8420915518656,146839,AAPL,2018 Q4,Beat,0.06790844813440033,0.02333623647230252,222.22,-6.633066330663306,-9.283592835928356,-8.302583025830257,-6.178561785617854,SPX 100,E Technology,Mega Cap,2.3893828504512467
4.18,4.18303566319099,149518,AAPL,2019 Q1,Miss,0.0030356631909906895,0.0007262352131556674,154.68,6.833462632531684,7.602792862684238,7.6545125420222515,12.606671838634597,setup,E Technology,Mega Cap,-0.07257081783220949
4.18,4.18303566319099,149518,AAPL,2019 Q1,Miss,0.0030356631909906895,0.0007262352131556674,154.68,6.833462632531684,7.602792862684238,7.6545125420222515,12.606671838634597,SPX 100,E Technology,Mega Cap,-0.07257081783220949
2.46,2.4481502303601,152747,AAPL,2019 Q2,Beat,0.011849769639900032,0.004816979528414647,200.67,4.908556336273495,4.225843424527831,5.521502965067038,1.0913439976080186,setup,E Technology,Mega Cap,0.48402951309720244
2.46,2.4481502303601,152747,AAPL,2019 Q2,Beat,0.011849769639900032,0.004816979528414647,200.67,4.908556336273495,4.225843424527831,5.521502965067038,1.0913439976080186,SPX 100,E Technology,Mega Cap,0.48402951309720244
2.18,2.16713944500607,154990,AAPL,2019 Q3,Beat,0.01286055499393024,0.005899337153179009,208.78,2.0404253280965623,-0.16764057859948167,-2.279911868952955,-5.642302902576879,setup,E Technology,Mega Cap,0.5934345860191852
